Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
05/08/2022 13:50,@5488119RJTT,さわちゃ,小刀、カッター、デザインナイフでよく怪我したけど彫刻刀、電ノコ、ノミあたりは怪我したことねぇな(小並感),1555415921719910401,,,,0,0,Twitter for iPhone,460,483,4,,2020/06/07,,20↑♂生物系専攻とは？ってなる ものづくりいろいろしてる人 カメラします キャンプします ミリポタク タルコフゲーム内装備してます,,,View
05/08/2022 13:50,@boundtrii,the secret service of raz kids,"me duelen las uñas, la espalda, el ojo, dios mio ya no más",1555415921719746561,,,,0,0,Twitter for iPhone,66,62,0,,2022/05/09,,dios en tus manos colocamos el día que ya pasó y la noche que llega,,,View
05/08/2022 13:50,@gelinesago,gëls ✨,yayamanin naman neto i kenat,1555415921694748672,,,,0,0,Twitter for Android,361,256,1,,2015/03/22,🔰 ,☀️,,,View
05/08/2022 13:50,@NwdPLDnqiT9gIZy,あ,つまんない,1555415921686024192,,,,0,0,Twitter for iPhone,1,0,0,,2022/05/18,,独り言,,,👤
05/08/2022 13:50,@PaintedPollywog,Scooter,“…and the last thing I need’s the threat of my own enemies mingling with existing threats abound.”,1555415921669308417,,,,0,0,Twitter for iPad,158,170,2,,2016/07/19,,Don’t stop me now! 🌱#MVRP/#MechaRP🌱 (current pfp by @gleamyguts),,,View
05/08/2022 13:50,@m7ukhngUedgUFae,ナスカ,登場人物と相性合わないと読むの無理ってなる。あと作者と相性合わないと読むの無理ってなる。映画も漫画も同じ。,1555415921665028096,,,,0,0,Twitter for iPhone,44,42,2,,2021/05/23,,作家志望です。小説書いてます。小説書きさんと繋がりたい。 I’ll become a novelist and want to understand English. I believe English makes spread my world.,,,View
05/08/2022 13:50,@mii_yakiimo,みー☺︎初マタ10w つわり中,ずっと気持ち悪くてさ、妊娠前の元気だったころが思い出せないよ😇時期が来たらちゃんとつわり終わってちょうだいね。,1555415921594109958,,,,0,0,Twitter for iPhone,8,12,0,,2022/07/25,,30代前半👫/関東在住/共働き/不妊治療の末妊娠/予定日:2023年3月上旬/HPS気質/マタ垢ルールよく分かっていません💭/無言フォロー&いいね失礼します🙇🏻‍♀️,,,View
05/08/2022 13:50,@waynishaa,.🦦,"I hate niggas who stunt on not not spending money on women. nigga you a loser, you don’t have no motion fr",1555415921535115264,,,,0,0,Twitter for iPhone,1991,1268,1,,2016/08/02,,. love always youngn 🕊,https://www.forevayoungbty.com,,View
05/08/2022 13:50,@AhmedELGraihy7,Ahmed ELGraihy,#ادعم_قرارات_الاهلي,1555415921526718464,,https://pbs.twimg.com/media/FZXyiLDXEAMosnJ.jpg,,0,0,Twitter for Android,51,2030,5,,2021/10/21,,,,,View
05/08/2022 13:50,@thesleepeasy,theSleepEasy 🏁 Ⓐ,Seeing Matt Dillahunty in the new Some More News showing how garbage Jordan Peterson is just a wonderful treat.,1555415921480683520,,,,0,0,Twitter for iPhone,541,4989,0,,2009/04/02,,,,,View
05/08/2022 13:50,@giosampaio,Nana,status de visita: perfil visualizado 6 vezes,1555415921463812096,http://twcm.co/OXYaJ,,,0,0,Twitcom - Comunidades ,331,350,2,,2010/10/18,,Faça do amor o seu caminho! ❤️,,,View
05/08/2022 13:50,@AydtSpirit,Andrea Aydt - Spirit Communications & Co.,,1555415921459662853,,https://pbs.twimg.com/media/FZXyiboXEAErlQm.jpg,,0,0,Twitter for Android,0,17,0,,2022/08/05,,Master intuitive palmist of over 20 years. Producer of Autumn Moon Psychic & Holistic Gathering. Since the age of 4 I have been in contact wi,,,View
05/08/2022 13:50,@kaiminbott,快眠bot,寒い冬でさえも、 眠れない焦りや不安から、 額に嫌な脂汗が出てきてしまいますよね。 そんな時は 軽く水を絞ったタオルを額に当ててみるのも効果的です。 頭に上りすぎた血がスーッと 無くなり、リラックスできます。,1555415921459470338,,,,0,0,twittbot.net,3479,3799,10,,2014/11/06,,【眠れないことへのイライラ…不安…】【夜への恐怖心】そんな気持ちを軽くできるような内容をツイートしていきます。 夜眠れないあなたと痛みを分かち合いましょう。ちなみに不眠症改善のブログも書いているので、悩んでいる方はぜひ読んで下さい⬇︎,http://ameblo.jp/tetsunosuke556/,,View
05/08/2022 13:50,@banachanndayo,ばなちん,なんかもう躊躇いとか無くなったの終わりや,1555415921447280640,,,,0,0,Twitter for iPhone,277,290,1,,2021/02/07,,原神/絵/かがやくきゃん太(@ArcaeaJotatukun),,,View
05/08/2022 13:50,@Relentless_Kate,RelentlessKate,"Just s tiny reminder) 6 days left! RT @Relentless_Kate: First, I have a ""Frozen Artifacts"" sale (4.08 - 11.08): + Solidify Courage - 0.05 $ETH; + Solidify Time - 0.05 $ETH; + Solidify the Way - 0.1 $ETH; + Solidify Hope - 0.05 $ETH; So it's the perfect time to get one of them if you've been waiting to buy)",1555415921434542080,"https://twitter.com/Relentless_Kate/status/1555072684454715393
https://opensea.io/collection/frozen-artefacts",https://pbs.twimg.com/media/FZS5DfPXkAAoCkE.jpg,,0,0,Twitter Web App,2171,735,20,,2021/05/25,,Jack-of-all-trades → (she/her),https://linktr.ee/relentless.kate,,View
05/08/2022 13:50,@yuxuanzhuxiaok1,南京处女/南京外围/南京少妇/南京上课/南京名媛/南京包养/南京网红/南京空姐/南京模特/南京探花,certainly1,1555415921422139393,,,,0,0,Twitter for Android,3,0,0,,2022/02/23,,"全球优质mote外围,萝莉 学生 空姐 网红 明星。 24小时在线客服：http://BDD9966.me QQ: 1535506 VX: 4933917 全球看图群: http://t.me/BDD881 全球交流群: http://t.me/BDD880 包养关注号: @yujianbaoyang 欢迎咨询！",,,View
05/08/2022 13:50,@AtomK13,adam,"Ouch. RT @TalkinBaseball_: The Angels tied a franchise record with seven home runs today, including two from Shohei Ohtani. Final score: A's 8, Angels 7",1555415921405173762,https://twitter.com/talkinbaseball_/status/1555337479636533250,https://pbs.twimg.com/media/FZWqKpXWIAIiM04.jpg,,0,0,Twitter for iPhone,234,397,6,,2010/09/23,,,,,View
05/08/2022 13:50,@gbf_krn0812,ｵﾀｽｹ,1071301D :参戦ID 参加者募集！ Lv100 ジ・オーダー・グランデ,1555415921367613440,,https://pbs.twimg.com/media/CdL4YeiUEAI0JKW.jpg,,0,0,グランブルー ファンタジー,2,3,0,,2021/09/20,,ｵﾀｽｹ,,,View
05/08/2022 13:50,@fF2mA7aCZTy597I,セメント森,ロッキン明日からか〜。 夏フェスの季節だなー。 仕事しよ。,1555415921367597056,,,,0,0,Twitter for iPhone,30,51,0,,2021/08/01,,2023年5月10までに65キロになる為のアカウント。(−20キロ) 趣味呟き。きのホ。と自転車と邦楽とサブカルと秘湯,,,View
05/08/2022 13:50,@qlcrhkthrmadl,♥ㅋr톡-ㄹr인: u814 출장마사지출장업소출장샵출장아가씨조건만남출장만남애인대행,⚠⚠⚠ 혜화 낚시스타그램 강북섹트 술대리구매 추천,1555415921359228929,,,,0,0,Twitter for Android,2,89,0,,2010/10/12,,오늘 밤 저랑 만남하실꺼죠? 매너 있는분만 만남할꺼에요 👍ㅋr톡-ㄹr인 : u814,,,View
05/08/2022 13:50,@SUNANORI3,砂糊,憎き労働,1555415921333678081,,,,0,0,Twitter for iPhone,0,5,0,,2022/08/03,,FA 生きてたい,,,View
05/08/2022 13:50,@dreamerfi1,DreamerFi,China's Dongfeng Missiles can Fight Wherever They Want to Fight,1555415921321205760,,pic.twitter.com/daJF4T8FpZ,,0,0,Twitter Web App,1229,969,0,,2021/10/13,,传递社会正能量 互fo❤️❤️❤️,,,View
05/08/2022 13:50,@GDnJTXu1BaC3jGj,とりひき,summer paradise サマパラ HiHijets 公演 お譲りしてくださる方を探しております。 【譲】8/5 夜 【枚数】1枚 【金額】〜3.0 【取引】要相談 同行、端末貸出していただける方で求めております。お心当たりのある方はDMまでお願い致します。 #サマパラ譲 #サマパラ求 #HiHiJets譲,1555415921317281792,,,,0,0,Twitter for iPhone,5,2,0,,2019/11/09,,東京/over20/取引経験あり,,,View
